sample_id,label,size_model,size_params_json,label_coarse,label_family,n_particles,pattern_params,seed_offset
sample_000439,C03_Ring,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.23097672976400874, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.07060702213704956}",,,37,"{""n_particles"": 37, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7207649231228681, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.09791909504780814}",439
sample_000440,C02_EdgeBiased,weibull,"{""k"": 0.8248749746892586, ""lambda_um"": 0.4255722882989584, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,32,"{""edge_bias"": 1.571523232202805, ""n_particles"": 32, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",440
sample_000441,C02_EdgeBiased,weibull,"{""k"": 2.867746559162608, ""lambda_um"": 0.4436983210139318, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,32,"{""edge_bias"": 3.737222038263986, ""n_particles"": 32, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",441
sample_000442,C06_RadialLines,pareto,"{""alpha"": 3.9193826023183145, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2158285331812116}",,,70,"{""angular_jitter_deg"": 2.7806744782203445, ""n_lines"": 4, ""n_particles"": 70, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 4.0, ""r_max_norm"": 0.8437572234183217, ""r_min_norm"": 0.11891504605494162, ""sigma_perp_norm"": 0.05296835750790843}, ""r_max_ratio"": 0.6314715235795154, ""r_min_ratio"": 0.24173917151852464, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.012397728735723722, ""wafer_radius_mm"": 150.0}",442
sample_000443,C09_Spiral,pareto,"{""alpha"": 3.434536913510823, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.23254420148442945}",,,193,"{""end_r_ratio"": 0.7676023877830416, ""n_particles"": 193, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 14.58463025752236, ""width_norm"": 0.04729493651421888}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.15044453303504057, ""theta_max"": 17.510444098494922, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.017984130295281803}",443
sample_000444,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.781761988063543, ""per_sample"": true, ""sigma_log"": 0.5033646625843309}",,,80,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 1.267990568495992, ""arc_radius_ratio"": 0.43675599104038043, ""n_particles"": 80, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.8216067203647794, ""span_rad"": 0.7852045140478656, ""width_norm"": 0.03831910168576065}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 116.83042076984275, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.011601464577503986}",444
sample_000445,C01_Uniform,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.3787773856080487, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.08719589907223602}",,,16,"{""n_particles"": 16, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",445
sample_000446,C09_Spiral,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.20711317632152368, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.09376728842520511}",,,26,"{""end_r_ratio"": 0.8710920860464845, ""n_particles"": 26, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 27.765545790958942, ""width_norm"": 0.016165220704852948}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.0812490214776794, ""theta_max"": 17.832279394160963, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.025560818801048768}",446
sample_000447,C09_Spiral,weibull,"{""k"": 1.2984217922674932, ""lambda_um"": 0.16841590203117707, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,59,"{""end_r_ratio"": 0.7425776775554305, ""n_particles"": 59, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 17.467775199186434, ""width_norm"": 0.03523162672735299}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.02988835307216876, ""theta_max"": 16.671963949351404, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.010141077167992403}",447
sample_000448,C02_EdgeBiased,weibull,"{""k"": 2.2802920667387028, ""lambda_um"": 0.2706218551583753, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,155,"{""edge_bias"": 2.1778554373667047, ""n_particles"": 155, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",448
sample_000449,C05_Sector_Internal,weibull,"{""k"": 1.8070876476840165, ""lambda_um"": 0.387730562148997, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,101,"{""angle_center_rad"": 4.447512044948288, ""angle_width_deg"": 49.23395222571528, ""edge_margin_norm"": 0.05, ""n_particles"": 101, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.12081319112939803, ""r_outer_ratio"": 0.7107484648370498, ""radial_beta_alpha"": 2.8434800857199116, ""radial_beta_beta"": 1.394287593609149, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 4.214825438084429, ""wafer_radius_mm"": 150.0}",449
sample_000450,C09_Spiral,pareto,"{""alpha"": 3.6492608704735865, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.20505467757997176}",,,155,"{""end_r_ratio"": 0.8321462325638398, ""n_particles"": 155, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 12.709288725583173, ""width_norm"": 0.009335331485006112}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.23414323407906176, ""theta_max"": 10.901832691608897, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03852067951799732}",450
sample_000451,C03_Ring,weibull,"{""k"": 2.9508499877550616, ""lambda_um"": 0.46671101677037624, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,172,"{""n_particles"": 172, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6975745732803491, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.0817829018491592}",451
sample_000452,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.30083358012838834, ""per_sample"": true, ""sigma_log"": 0.2835590921497873}",,,80,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 3.963574688449133, ""arc_radius_ratio"": 0.6135796989158383, ""n_particles"": 80, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.6181902426756176, ""span_rad"": 0.27561661310431573, ""width_norm"": 0.047122765383784675}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 67.5653924734879, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03473320094441013}",452
sample_000453,C08_CurvedScratch,weibull,"{""k"": 1.6419172469420755, ""lambda_um"": 0.17727902487385877, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,131,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 0.9876901559617002, ""arc_radius_ratio"": 0.7207003631752966, ""n_particles"": 131, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.5892961348233663, ""span_rad"": 0.7807492070251958, ""width_norm"": 0.05906450875083799}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 148.59140798510612, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01108266088366789}",453
sample_000454,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.5235420104325572, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.026064434953463868}",,,45,"{""angle_center_rad"": 2.7806227676223, ""angle_width_deg"": 21.707746939306112, ""edge_width_ratio"": 0.17757002834861269, ""n_particles"": 45, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.9796395125195354, ""radial_beta_beta"": 1.2032767747807336, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.229629482382378, ""wafer_radius_mm"": 150.0}",454
sample_000455,C02_EdgeBiased,pareto,"{""alpha"": 3.2518551643057636, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2878109652506203}",,,98,"{""edge_bias"": 3.5197128951085883, ""n_particles"": 98, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",455
sample_000456,C06_RadialLines,weibull,"{""k"": 1.181684223167515, ""lambda_um"": 0.03198794627997785, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,32,"{""angular_jitter_deg"": 3.1972846368770735, ""n_lines"": 8, ""n_particles"": 32, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 5.0, ""r_max_norm"": 0.8061175428278199, ""r_min_norm"": 0.12406667025662839, ""sigma_perp_norm"": 0.031864400946826035}, ""r_max_ratio"": 0.792317013004778, ""r_min_ratio"": 0.27505427112925035, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.011318443234931638, ""wafer_radius_mm"": 150.0}",456
sample_000457,C01_Uniform,pareto,"{""alpha"": 2.814185363074431, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.15281091514247663}",,,91,"{""n_particles"": 91, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",457
sample_000458,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.400148506761314, ""per_sample"": true, ""sigma_log"": 0.22904597269269691}",,,140,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 0.6761609442047147, ""arc_radius_ratio"": 0.4292326399052531, ""n_particles"": 140, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.6999113374739065, ""span_rad"": 0.363446473001266, ""width_norm"": 0.05953363029031463}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 87.82393211221017, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04329612786780163}",458
sample_000459,C05_Sector_Internal,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.7566034341486259, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.06319166613193171}",,,74,"{""angle_center_rad"": 1.646140180073954, ""angle_width_deg"": 75.70446323066733, ""edge_margin_norm"": 0.05, ""n_particles"": 74, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.2372245833340526, ""r_outer_ratio"": 0.7299234708579948, ""radial_beta_alpha"": 3.4720431290817366, ""radial_beta_beta"": 2.7121695935135204, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 1.0726908792928518, ""wafer_radius_mm"": 150.0}",459
sample_000460,C02_EdgeBiased,weibull,"{""k"": 2.6674632907706743, ""lambda_um"": 0.290902450342657, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,88,"{""edge_bias"": 3.334352354710556, ""n_particles"": 88, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",460
sample_000461,C04_Sector_Edge,weibull,"{""k"": 2.73382953460273, ""lambda_um"": 0.33734487196804724, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,133,"{""angle_center_rad"": 2.767204301152573, ""angle_width_deg"": 60.61173044287844, ""edge_width_ratio"": 0.12289001344750396, ""n_particles"": 133, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.072299005544498, ""radial_beta_beta"": 2.557201710368771, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.001018239770085, ""wafer_radius_mm"": 150.0}",461
sample_000462,C03_Ring,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.3938445604380734, ""per_sample"": true, ""sigma_log"": 0.7644647593591816}",,,108,"{""n_particles"": 108, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.5460926212457211, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.07649137238518677}",462
sample_000463,C07_StraightLine,weibull,"{""k"": 1.5486641967270858, ""lambda_um"": 0.03996658148952413, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,70,"{""angle_deg"": 178.66127144601168, ""n_particles"": 70, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.286388078159033, ""params"": {""segment_half_length_norm"": 0.10251813767391141, ""width_norm"": 0.04019526950936065}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4172953623905205, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.022602469185289336}",463
sample_000464,C04_Sector_Edge,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.879918829474045, ""per_sample"": true, ""sigma_log"": 0.26739475578020516}",,,194,"{""angle_center_rad"": 2.6468883109559846, ""angle_width_deg"": 43.40936262756282, ""edge_width_ratio"": 0.29080535535513446, ""n_particles"": 194, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.599963802159791, ""radial_beta_beta"": 3.1389801276329026, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.557708711731999, ""wafer_radius_mm"": 150.0}",464
sample_000465,C09_Spiral,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.6764871609296512, ""per_sample"": true, ""sigma_log"": 0.5435953676837042}",,,165,"{""end_r_ratio"": 0.9916027101492926, ""n_particles"": 165, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 16.214567812975393, ""width_norm"": 0.038144253262600555}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.15400048915238462, ""theta_max"": 12.912915133525544, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.030171243999569164}",465
sample_000466,C07_StraightLine,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.7059097087662625, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.07536943948973583}",,,77,"{""angle_deg"": 34.44713664673997, ""n_particles"": 77, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.2306156031794536, ""params"": {""segment_half_length_norm"": 0.3234437801255784, ""width_norm"": 0.06010106864246383}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7306894937580821, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03366792093904576}",466
sample_000467,C07_StraightLine,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.4925219091856574, ""per_sample"": true, ""sigma_log"": 0.7224961902677105}",,,20,"{""angle_deg"": 130.10874245900777, ""n_particles"": 20, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.2717062474397584, ""params"": {""segment_half_length_norm"": 0.21165096394200325, ""width_norm"": 0.034501803091430104}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.5321309032326165, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03720202727834327}",467
sample_000468,C04_Sector_Edge,pareto,"{""alpha"": 2.6842197300681505, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.18171563868143675}",,,106,"{""angle_center_rad"": 2.8967730821534423, ""angle_width_deg"": 87.30637539754224, ""edge_width_ratio"": 0.2574342448452798, ""n_particles"": 106, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.67823262882123, ""radial_beta_beta"": 1.3476372895819015, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 3.111433918207151, ""wafer_radius_mm"": 150.0}",468
sample_000469,C08_CurvedScratch,weibull,"{""k"": 1.005205672628727, ""lambda_um"": 0.046042855308989314, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,197,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 0.9904495310826053, ""arc_radius_ratio"": 0.7529891566984521, ""n_particles"": 197, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.4924959688368453, ""span_rad"": 0.2589255558668796, ""width_norm"": 0.0350658792450498}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 72.00603358801224, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.034951117674028157}",469
sample_000470,C04_Sector_Edge,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.055752280215886, ""per_sample"": true, ""sigma_log"": 0.7251392705951241}",,,120,"{""angle_center_rad"": 5.70396899915357, ""angle_width_deg"": 36.62493082172382, ""edge_width_ratio"": 0.2619672550426249, ""n_particles"": 120, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.5682653936966875, ""radial_beta_beta"": 2.105084526527711, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 9.333084898865266, ""wafer_radius_mm"": 150.0}",470
sample_000471,C01_Uniform,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.5101910894455859, ""per_sample"": true, ""sigma_log"": 0.2021568750493022}",,,67,"{""n_particles"": 67, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",471
sample_000472,C06_RadialLines,weibull,"{""k"": 2.6048859952165353, ""lambda_um"": 0.20142039508909787, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,120,"{""angular_jitter_deg"": 1.010343265153875, ""n_lines"": 6, ""n_particles"": 120, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 6.0, ""r_max_norm"": 0.9059905884111875, ""r_min_norm"": 0.14979066406922842, ""sigma_perp_norm"": 0.05419447940374118}, ""r_max_ratio"": 0.7718568170938073, ""r_min_ratio"": 0.20963272597148266, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.023667679398751047, ""wafer_radius_mm"": 150.0}",472
sample_000473,C05_Sector_Internal,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.46018659912512583, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.02718853007205265}",,,121,"{""angle_center_rad"": 0.7045105948982782, ""angle_width_deg"": 65.5089557200883, ""edge_margin_norm"": 0.05, ""n_particles"": 121, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.0845967411001086, ""r_outer_ratio"": 0.8126838157986702, ""radial_beta_alpha"": 3.803883405157168, ""radial_beta_beta"": 3.107193560988641, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 4.748936882878993, ""wafer_radius_mm"": 150.0}",473
sample_000474,C05_Sector_Internal,pareto,"{""alpha"": 1.6067565947802864, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2406000867780675}",,,77,"{""angle_center_rad"": 1.5314148401708305, ""angle_width_deg"": 47.48107789418812, ""edge_margin_norm"": 0.05, ""n_particles"": 77, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.30858829037102276, ""r_outer_ratio"": 0.8217777348889815, ""radial_beta_alpha"": 3.9734461698736316, ""radial_beta_beta"": 3.177762744301762, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 5.668574921378171, ""wafer_radius_mm"": 150.0}",474
sample_000475,C07_StraightLine,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.032463529336801154, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.060346479518081406}",,,82,"{""angle_deg"": 137.83565125836947, ""n_particles"": 82, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.28677501311663695, ""params"": {""segment_half_length_norm"": 0.2863911047455447, ""width_norm"": 0.04018744341765083}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.8115484594242555, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.016409345028828022}",475
sample_000476,C05_Sector_Internal,weibull,"{""k"": 0.8568313187758405, ""lambda_um"": 0.4176439156397875, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,45,"{""angle_center_rad"": 3.1524926286840884, ""angle_width_deg"": 34.030528910199294, ""edge_margin_norm"": 0.05, ""n_particles"": 45, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.33752097833308314, ""r_outer_ratio"": 0.687681351549332, ""radial_beta_alpha"": 3.9599014585328973, ""radial_beta_beta"": 3.554768102151998, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 3.808358559132404, ""wafer_radius_mm"": 150.0}",476
sample_000477,C06_RadialLines,weibull,"{""k"": 1.7046177202821908, ""lambda_um"": 0.44984046125322213, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,44,"{""angular_jitter_deg"": 4.5623618377984885, ""n_lines"": 8, ""n_particles"": 44, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 4.0, ""r_max_norm"": 0.8243946752132878, ""r_min_norm"": 0.006523055002470313, ""sigma_perp_norm"": 0.01883156745259973}, ""r_max_ratio"": 0.9765154103007949, ""r_min_ratio"": 0.02567865821864691, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.004736387704419216, ""wafer_radius_mm"": 150.0}",477
sample_000478,C03_Ring,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.5266206384945206, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.05890222162388205}",,,138,"{""n_particles"": 138, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.5672058011279335, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.14225073789636938}",478
sample_000479,C11_Hotspot_Elliptic,weibull,"{""k"": 2.247918530020794, ""lambda_um"": 0.4222039829450779, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,17,"{""center_angle"": ""random"", ""center_angle_rad"": 3.9157888518241912, ""center_radius_ratio"": 0.35818696014470996, ""mode"": ""random"", ""n_particles"": 17, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.580936807875495, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.04054798745122647, ""sigma_y_ratio"": 0.058579723166522504, ""wafer_radius_mm"": 150.0}",479
sample_000480,C11_Hotspot_Elliptic,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.940000800124188, ""per_sample"": true, ""sigma_log"": 0.4106417383671074}",,,136,"{""center_angle"": ""random"", ""center_angle_rad"": 2.6628284535449143, ""center_radius_ratio"": 0.28920616224367435, ""mode"": ""random"", ""n_particles"": 136, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.918220346143475, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08161552451941417, ""sigma_y_ratio"": 0.07281461819427548, ""wafer_radius_mm"": 150.0}",480
sample_000481,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.4357684029336548, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.05954686241663647}",,,12,"{""center_angle"": ""random"", ""center_angle_rad"": 6.025834507374812, ""center_radius_ratio"": 0.5002149816034295, ""mode"": ""random"", ""n_particles"": 12, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.5973549642141176, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.0787506564108161, ""sigma_y_ratio"": 0.06490697056550283, ""wafer_radius_mm"": 150.0}",481
sample_000482,C07_StraightLine,pareto,"{""alpha"": 2.3718966396850165, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2661017310105066}",,,156,"{""angle_deg"": 99.21888235200142, ""n_particles"": 156, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.08622899187203772, ""params"": {""segment_half_length_norm"": 0.07702071662663054, ""width_norm"": 0.05586817276532151}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3161826637090791, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.016597463338750423}",482
sample_000483,C11_Hotspot_Elliptic,weibull,"{""k"": 1.4172985980864636, ""lambda_um"": 0.15957791581581998, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,114,"{""center_angle"": ""random"", ""center_angle_rad"": 5.24016306179138, ""center_radius_ratio"": 0.6376614224818811, ""mode"": ""random"", ""n_particles"": 114, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.1776968099715477, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.03984465950569521, ""sigma_y_ratio"": 0.023287225297491318, ""wafer_radius_mm"": 150.0}",483
sample_000484,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.5782856909328516, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.05335435810721699}",,,100,"{""center_angle"": ""random"", ""center_angle_rad"": 0.1377729952499571, ""center_radius_ratio"": 0.7542351067997308, ""mode"": ""random"", ""n_particles"": 100, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.5332326659572644, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08644836574059284, ""sigma_y_ratio"": 0.026934509549827026, ""wafer_radius_mm"": 150.0}",484
